1711;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1712;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1714;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1715;8 (Pointe du Lac/Balard);metro
1716;1 (La Défense/Château de Vincennes);metro
1717;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1718;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1719;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1720;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1721;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1722;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1723;8 (Pointe du Lac/Balard);metro
1724;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1725;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1726;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1727;9 (Mairie de Montreuil/Pont de Sèvres);metro
1728;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1729;9 (Mairie de Montreuil/Pont de Sèvres);metro
1730;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1731;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1732;12 (Front Populaire/Mairie d'Issy);metro
1733;1 (La Défense/Château de Vincennes);metro
1734;12 (Front Populaire/Mairie d'Issy);metro
1735;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1736;11 (Châtelet/Mairie des Lilas);metro
1736;3B (Gambetta/Porte des Lilas);metro
1737;7B (Louis Blanc/Pré-Saint-Gervais);metro
1738;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1740;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1741;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1741;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1742;6 (Charles de Gaulle - Etoile/Nation);metro
1743;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1744;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1745;11 (Châtelet/Mairie des Lilas);metro
1746;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1747;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1747;9 (Mairie de Montreuil/Pont de Sèvres);metro
1749;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1750;8 (Pointe du Lac/Balard);metro
1751;12 (Front Populaire/Mairie d'Issy);metro
1751;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1751;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1751;6 (Charles de Gaulle - Etoile/Nation);metro
1753;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1754;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1758;1 (La Défense/Château de Vincennes);metro
