1889;2.27930670368976;48.8272434444069;Corentin-Celton;ISSY-LES-MOULINEAUX;metro
1890;2.34943832730731;48.8296116848646;Corvisart;PARIS-13EME;metro
1892;2.30360515293852;48.8792362487704;Courcelles;PARIS-08EME;metro
1893;2.379868518699;48.8689698757764;Couronnes;PARIS-11EME;metro
50055;2.38761298844824;48.8334843071503;Cour Saint-Emilion;PARIS-12EME;metro
1897;2.44906187102647;48.7964623870188;Créteil-L'Echat (Hôpital Henri Mondor);CRETEIL;metro
1898;2.45914426746537;48.7797484034104;Créteil-Préfecture (Hôtel de Ville);CRETEIL;metro
1899;2.45144739751129;48.7893506910917;Créteil-Université;CRETEIL;metro
1894;2.37681528947191;48.8906811628606;Crimée;PARIS-19EME;metro
1896;2.43609830308268;48.8579269412394;Croix-de-Chavaux (Jacques Duclos);MONTREUIL;metro
1900;2.39270205235331;48.8820231366362;Danube;PARIS-19EME;metro
1901;2.39584590805199;48.8393629125482;Daumesnil (Félix Eboué);PARIS-12EME;metro
1902;2.33189346001924;48.8335919035577;Denfert-Rochereau;PARIS-14EME;metro
1906;2.38895257216093;48.8389122332307;Dugommier;PARIS-12EME;metro
1907;2.29276958714394;48.8508056365633;Dupleix;PARIS-15EME;metro
1908;2.31672285703746;48.8467835319339;Duroc;PARIS-07EME;metro
1909;2.30554381620113;48.8545185491092;Ecole Militaire;PARIS-07EME;metro
23674;2.42075635931134;48.8151517942859;Ecole Vétérinaire de Maisons-Alfort;MAISONS-ALFORT;metro
1910;2.3261713916465;48.8403339877984;Edgar-Quinet;PARIS-14EME;metro
1911;2.26890098784783;48.8471813581933;Eglise d'Auteuil;PARIS-16EME;metro
1912;2.41328568033304;48.893113981741;Eglise de Pantin;PANTIN;metro
1913;2.25044232471862;48.887843122138;Esplanade de la Défense;PUTEAUX;metro
1914;2.34866984004444;48.8634946589771;Etienne Marcel;PARIS-01ER;metro
1915;2.32282484061213;48.8787098768874;Europe;PARIS-08EME;metro
1916;2.25973661579821;48.8424273379119;Exelmans;PARIS-16EME;metro
1917;2.38427458098634;48.8502384503521;Faidherbe-Chaligny;PARIS-11EME;metro
1918;2.31749646866691;48.844637894177;Falguière;PARIS-15EME;metro
1925;2.29199788779218;48.8429772288922;Félix Faure;PARIS-15EME;metro
1919;2.36645313804373;48.8633028923386;Filles du Calvaire;PARIS-03EME;metro
1923;2.40417710143886;48.9146921997335;Fort d'Aubervilliers;AUBERVILLIERS;metro
1924;2.30830876451203;48.8693052286485;Franklin-Roosevelt;PARIS-08EME;metro
454595;2.36587539174522;48.9065795187205;Front Populaire;AUBERVILLIERS;metro
2021;2.34340064272908;48.8844354700414;Funiculaire Gare basse;PARIS-18EME;metro
2022;2.34334627251386;48.8856217864643;Funiculaire Gare haute;PARIS-18EME;metro
22443;2.29492376422254;48.9162335021232;Gabriel-Péri;ASNIERES-SUR-SEINE;metro
1927;2.32258277982791;48.8384911503461;Gaité;PARIS-14EME;metro
1928;2.41568260426712;48.8633345779424;Gallieni (Parc de Bagnolet);BAGNOLET;metro
1929;2.39846223866212;48.8648347782704;Gambetta;PARIS-20EME;metro
1838;2.36431304821499;48.8431055835176;Gare d'Austerlitz;PARIS-13EME;metro
1841;2.35791867724751;48.8760613055252;Gare de l'Est (Verdun);PARIS-10EME;metro
1839;2.37406590751466;48.8447045450658;Gare de Lyon;PARIS-12EME;metro
1842;2.35470307836603;48.8799654432891;Gare du Nord;PARIS-10EME;metro
1844;2.33173327604333;48.9060316197727;Garibaldi;SAINT-OUEN;metro
1846;2.30046268343343;48.8719825731694;George V;PARIS-08EME;metro
1848;2.34393889430969;48.8313647071449;Glacière;PARIS-13EME;metro
1849;2.3712726500969;48.8696803933807;Goncourt (Hôpital Saint-Louis);PARIS-10EME;metro
1671;2.34319701067138;48.8714189081641;Grands Boulevards;PARIS-09EME;metro
1851;2.32722675495985;48.8924675161233;Guy-Môquet;PARIS-18EME;metro
1852;2.3285077502868;48.8733427700542;Havre-Caumartin;PARIS-09EME;metro
1853;2.40319741378238;48.8913165639098;Hoche;PANTIN;metro
1855;2.35149453979435;48.8567695272423;Hôtel de Ville;PARIS-04EME;metro
1858;2.2937999591139;48.8644728974464;Iéna;PARIS-16EME;metro
1857;2.31435704324728;48.8616865404563;Invalides;PARIS-07EME;metro
1859;2.36053788394075;48.8709749040173;Jacques-Bonsergent;PARIS-10EME;metro
1860;2.26790681383725;48.8523396005309;Jasmin;PARIS-16EME;metro
1861;2.37023181919226;48.8825437461168;Jaurès;PARIS-19EME;metro
1862;2.27845497841475;48.8461034637876;Javel-André-Citroen;PARIS-15EME;metro
1864;2.38919309981893;48.8751674276782;Jourdain;PARIS-20EME;metro
1865;2.34446469630622;48.8924519921638;Jules Joffrin;PARIS-18EME;metro
1866;2.35469159842714;48.8458380895278;Jussieu;PARIS-05EME;metro
1867;2.29307915421584;48.8710948130145;Kléber;PARIS-16EME;metro
1868;2.35849962591676;48.8839663987791;La Chapelle;PARIS-10EME;metro
1869;2.41045542691904;48.9209043594324;La Courneuve-8-Mai-1945;LA COURNEUVE;metro
1850;2.23788279833084;48.8919344692345;La Défense (Grande Arche);PUTEAUX;metro
1872;2.32603867708385;48.8873918956469;La Fourche;PARIS-17EME;metro
1879;2.33889013654466;48.8897560451806;Lamarck-Caulaincourt;PARIS-18EME;metro
1874;2.29794929910712;48.8491605024288;La Motte-Picquet-Grenelle;PARIS-15EME;metro
1876;2.27411706697758;48.8579377398982;La Muette;PARIS-16EME;metro
54166;2.30959864479432;48.8573850541664;La Tour-Maubourg;PARIS-07EME;metro
1882;2.3795955531979;48.8850422338428;Laumière;PARIS-19EME;metro
1798;2.37594535235887;48.8511941201646;Ledru-Rollin;PARIS-12EME;metro
1793;2.36161295005801;48.8103806352167;Le Kremlin-Bicêtre;LE KREMLIN-BICETRE;metro
1795;2.33980253815072;48.8749360634737;Le Peletier;PARIS-09EME;metro
