1975;metro
1981;metro
1978;metro
1980;metro
1982;metro
11037;metro
1984;metro
1986;metro
1988;metro
225437;metro
1989;metro
1992;metro
1994;metro
1995;metro
1997;metro
1999;metro
50622;metro
2000;metro
2003;metro
2004;metro
1938;metro
2005;metro
51020;metro
2006;metro
2007;metro
2009;metro
2010;metro
2011;metro
2012;metro
2014;metro
2015;metro
2016;metro
2017;metro
2018;metro
2019;metro
1930;metro
1933;metro
1931;metro
1936;metro
1937;metro
1939;metro
1940;metro
1941;metro
1942;metro
228266;metro
1944;metro
1949;metro
1950;metro
1951;metro
1953;metro
1952;metro
1955;metro
1961;metro
1962;metro
1963;metro
1960;metro
1964;metro
1968;metro
1957;metro
1958;metro
1959;metro
1969;metro
54244;metro
1972;metro
1973;metro
1885;metro
1887;metro
1888;metro
1889;metro
1890;metro
1892;metro
1893;metro
50055;metro
1897;metro
1898;metro
1899;metro
1894;metro
1896;metro
1900;metro
1901;metro
1902;metro
1906;metro
1907;metro
1908;metro
1909;metro
23674;metro
1910;metro
1911;metro
1912;metro
1913;metro
1914;metro
1915;metro
1916;metro
1917;metro
1918;metro
1925;metro
1919;metro
1923;metro
1924;metro
454595;metro
2021;metro
2022;metro
22443;metro
1927;metro
1928;metro
1929;metro
1838;metro
1841;metro
1839;metro
1842;metro
1844;metro
1846;metro
1848;metro
1849;metro
1671;metro
1851;metro
1852;metro
1853;metro
1855;metro
1858;metro
1857;metro
1859;metro
1860;metro
1861;metro
1862;metro
1864;metro
1865;metro
1866;metro
1867;metro
1868;metro
1869;metro
1850;metro
1872;metro
1879;metro
1874;metro
1876;metro
54166;metro
1882;metro
1798;metro
1793;metro
1795;metro
225436;metro
1800;metro
1801;metro
1802;metro
1803;metro
1804;metro
1806;metro
1807;metro
1808;metro
1809;metro
1812;metro
1813;metro
1816;metro
1817;metro
466736;metro
1818;metro
1819;metro
1814;metro
1815;metro
1820;metro
21583;metro
21582;metro
22442;metro
22441;metro
1826;metro
55372;metro
1828;metro
1829;metro
1831;metro
1834;metro
1754;metro
1836;metro
1837;metro
1835;metro
1746;metro
1747;metro
1749;metro
1750;metro
1751;metro
1753;metro
1758;metro
1761;metro
1767;metro
1768;metro
1769;metro
1770;metro
171507;metro
1771;metro
11038;metro
11039;metro
1773;metro
1774;metro
1779;metro
1780;metro
1781;metro
1782;metro
1740;metro
1741;metro
1783;metro
1784;metro
1785;metro
1786;metro
1787;metro
1790;metro
1792;metro
1789;metro
1788;metro
1705;metro
397629;metro
1706;metro
1708;metro
1709;metro
1710;metro
1711;metro
1712;metro
1714;metro
1717;metro
1721;metro
1722;metro
