1955;2062;2
2062;1642;2
1642;1892;2
1892;2036;1
2036;1864;1
1864;1773;1
1773;1688;1
1688;1980;2
1980;2083;1
2083;1945;2
1945;1961;1
1961;2028;1
2028;2048;2
2048;1755;1
1755;1856;2
1856;1803;1
1803;1933;2
1933;1887;1
2433;2098;1
2098;2147;2
2147;2216;1
2216;2200;1
2200;2544;2
2544;2170;1
2170;2498;1
2498;2383;2
2383;2331;1
2331;2155;1
2155;2288;2
2288;2522;1
2522;2111;2
2111;2210;2
2210;2443;1
2443;2371;2
2371;2429;2
2429;2470;1
2470;2116;1
2116;2154;2
1788;1784;1
1784;1812;1
1812;2079;2
2079;2087;1
2087;1978;1
1978;1900;2
1900;1674;1
1674;1910;2
1910;2086;2
2086;2046;1
2046;1791;1
1791;2071;2
2071;1795;1
1795;1707;1
1707;1629;2
1629;1822;1
1822;1989;2
1989;1684;1
1684;2029;1
2029;1694;2
1694;1736;2
2087;1978;2
1978;1900;1
1900;1674;2
1674;1910;1
1910;2086;2
2086;2046;1
2046;1791;2
1791;2071;1
2071;1795;2
1795;1707;1
1707;1629;2
1629;1822;1
1822;1989;1
1989;1684;1
1684;2029;2
2029;1694;2
1694;1736;1
1900;1674;1
1674;1910;2
1910;2086;2
2086;2046;1
2046;1791;1
1791;2071;2
2071;1795;1
1795;1707;1
1707;1629;2
1629;1822;1
1822;1989;2
1989;1684;1
1684;2029;1
2029;1694;2
1694;1736;2
2179;2361;1
2361;2509;2
2509;2452;1
2452;2405;1
2405;2120;2
2120;2401;1
2401;2096;1
2096;2547;2
2547;2235;1
2235;2484;2
2484;2296;1
2296;2168;1
2168;2548;2
2548;2128;1
2128;2351;1
2351;2394;2
2394;2398;1
2398;2160;1
2160;2107;1
2107;2338;2
2405;2120;1
2120;2401;1
2401;2096;2
2096;2547;1
2547;2235;2
2235;2484;1
2484;2296;1
2296;2168;1
2168;2548;2
2548;2128;1
2128;2351;1
2351;2394;2
2394;2398;1
2398;2160;1
2160;2107;2
2107;2338;1
2494;2179;1
2179;2361;1
2361;2509;1
2509;2452;1
2452;2405;2
2405;2120;1
2120;2401;1
2401;2096;2
2096;2547;1
2547;2235;2
2235;2484;1
2484;2296;2
2296;2168;1
2168;2548;1
2548;2128;2
2128;2351;1
2351;2394;1
2394;2398;2
2398;2160;1
2160;2107;1
2107;2338;2
1950;1785;2
1785;1728;1
1728;1779;1
1779;1766;2
1766;1683;1
1683;2050;1
2050;1765;1
1765;1662;1
1662;2007;1
2007;1760;1
1760;1846;2
1846;1889;1
1889;1722;1
1722;1935;1
1935;1630;2
1630;1881;1
1881;1634;1
1634;1786;1
1786;1738;2
1738;1862;1
1862;2044;1
2044;1802;2
1932;1891;2
1891;1746;2
1746;1772;1
1772;1922;1
1922;1901;2
1901;1675;1
1675;1958;2
1958;2076;3
2076;1898;2
1898;1767;1
1767;1843;2
1843;1700;1
1700;2008;2
2008;2063;1
2063;1759;2
1759;1951;2
1951;1641;1
1641;2017;1
2017;1793;2
2072;1932;2
1932;1891;2
1891;1746;1
1746;1772;2
1772;1922;1
1922;1901;1
1901;1675;2
1675;1958;2
1958;2076;2
2076;1898;2
1898;1767;2
1767;1843;1
1843;1700;2
1700;2008;1
2008;2063;2
2063;1759;1
1759;1951;2
1951;1641;2
1641;2017;1
2017;1793;2
1746;1772;1
1772;1922;1
1922;1901;2
1901;1675;1
1675;1958;2
1958;2076;2
2076;1898;2
1898;1767;1
1767;1843;2
1843;1700;1
1700;2008;2
2008;2063;1
2063;1759;2
1759;1951;2
1951;1641;1
1641;2017;1
2017;1793;2
2206;2437;2
2437;2112;2
2112;2164;1
2164;2445;1
2445;2310;1
2310;2377;2
2377;2294;1
2294;2125;2
2125;2213;2
2213;2485;2
2485;2297;1
2297;2247;2
2247;2382;1
2382;2424;1
2424;2287;2
