stop_id,stop_code,stop_name                    ,stop_desc,stop_lat          ,stop_lon          ,location_type,parent_station
4015906,,MOURINOUX,,0.8539951744275451,0.0397591872734412,0,9144
4015905,,FLEMING,,0.8539834352121414,0.0398103817794023,0,9143
4015895,,VILLEBOIS-MAREUIL,,0.8540370085748172,0.0400150600480346,0,12789
4015882,,GABRIEL PERI-HENRI BARBUSSE,,0.8537386953624435,0.0400793350388236,0,12782
4015883,,BASLY,,0.8537750839787002,0.0400743084111573,0,12783
4015884,,BASLY,,0.8537763371692089,0.0400695474756681,0,12783
4015885,,8 MAI 1945,,0.8538041006883006,0.0400702392919986,0,12784
4015880,,GABRIEL PERI-METRO,,0.8537060707115942,0.0400829304435127,0,5513
4015881,,GABRIEL PERI-METRO,,0.8537118709248568,0.0400729307309304,0,5513
4015911,,SOLFERINO,,0.8539809662246785,0.0395889970943165,0,9167
4015910,,SOLFERINO,,0.8539836310753657,0.0395861369267822,0,9167
4015913,,GARE DU STADE,,0.8539633284282604,0.0394730920208810,0,9856
4015912,,GARE DU STADE,,0.8539523477893622,0.0394716797863494,0,9856
4015915,,PRESIDENT KENNEDY,,0.8539217455075923,0.0394469688172289,0,52025
4015914,,PRESIDENT KENNEDY,,0.8539342727763102,0.0394148149508120,0,52025
4015917,,VALMY-GAMBETTA,,0.8539069414999898,0.0393574910116084,0,9858
4015916,,VALMY-GAMBETTA,,0.8539091387633411,0.0393593917804842,0,9858
4015919,,CITE DES MUSICIENS,,0.8539144227843933,0.0392898776312123,0,9860
4015918,,CITE DES MUSICIENS,,0.8539164617097752,0.0392896362082967,0,9860
4015887,,MAIRIE DE GENNEVILLIERS,,0.8538464491309621,0.0400637790479963,0,12785
4015886,,8 MAI 1945,,0.8537989223320404,0.0400640553511887,0,12784
4015889,,CAMELINAT-JAURES,,0.8539082506827600,0.0400668236507041,0,12787
4015888,,MAIRIE DE GENNEVILLIERS,,0.8538610341408996,0.0400568647336356,0,12785
4016898,,CENTRE COMMERCIAL DE L'ILE-SAINT-DENIS,,0.8538095569164015,0.0406992840923491,0,259881
4016899,,CENTRE COMMERCIAL DE L'ILE-SAINT-DENIS,,0.8538090861901741,0.0406957140568130,0,259881
4016897,,BOULEVARD MARCEL PAUL,,0.8537687721737441,0.0406538312478134,0,9720
4016910,,RUE BERTHELOT,,0.8541645176673636,0.0408116303658120,0,259887
4016896,,BOULEVARD MARCEL PAUL,,0.8537678312018135,0.0406562113393704,0,9720
4016911,,RUE BERTHELOT,,0.8541638902881523,0.0408082969658311,0,259887
4016895,,QUAI DE SEINE,,0.8537298733898999,0.0406740659105797,0,9719
4016912,,CIMETIERE DE L'ILE-SAINT-DENIS,,0.8541825557117342,0.0407918681220797,0,259888
4016894,,QUAI DE SEINE,,0.8537378745867477,0.0407064310759845,0,9719
4016893,,SOUBISE,,0.8536868964721624,0.0407026283447647,0,9718
4016913,,CIMETIERE DE L'ILE-SAINT-DENIS,,0.8541794186770222,0.0407913919174655,0,259888
4016892,,SOUBISE,,0.8536864262667923,0.0407114334039699,0,9718
4016914,,PARC DEPARTEMENTAL - COLLEGE SISLEY,,0.8542161207831866,0.0407225772782994,0,465859
4016891,,JEAN JAURES - MAIRIE,,0.8536467432938095,0.0407737832262870,0,454314
4016915,,PARC DEPARTEMENTAL - COLLEGE SISLEY,,0.8542161207831866,0.0407225772782994,0,465859
4016890,,MAIRIE DE SAINT-OUEN,,0.8536428215122283,0.0407480834284888,0,431659
4016889,,MAIRIE DE SAINT-OUEN,,0.8536428215122283,0.0407480834284888,0,431659
4016908,,RUE RENE ET ISA LEFEVRE,,0.8541060111300736,0.0408501986918888,0,465858
4016909,,RUE RENE ET ISA LEFEVRE,,0.8540936197277924,0.0408525787039565,0,465858
4016906,,MAIRIE DE L'ILE SAINT-DENIS,,0.8540473476207056,0.0408706688140887,0,50077
4016907,,MAIRIE DE L'ILE SAINT-DENIS,,0.8540407598668818,0.0408690017769617,0,50077
4016900,,QUAI DU CHATELIER N0 9,,0.8538572421603621,0.0407442646380253,0,465856
4016901,,QUAI DU CHATELIER N0 9,,0.8538564577741536,0.0407395043183286,0,465856
4016904,,RUE DE L'ORTEBOUT,,0.8539842931704849,0.0408578085566120,0,259884
4016905,,RUE DE L'ORTEBOUT,,0.8539824110481922,0.0408539996004970,0,259884
4016902,,QUAI DU CHATELIER N0 15,,0.8539554326879060,0.0408380488034388,0,465857
4016903,,QUAI DU CHATELIER N0 15,,0.8539518252077651,0.0408306692823765,0,465857
4118064,,PONT DE LEVALLOIS-METRO,,0.8533829898573004,0.0398050863097608,0,9134
4118121,,RER - 8 MAI 1945,,0.8544001797908969,0.0401974173475918,0,454253
4118065,,PONT DE LEVALLOIS-METRO,,0.8533809514972623,0.0398067537856136,0,9134
4118122,,LES COURTILLES,,0.8539528804448060,0.0398799236793034,0,440546
4118066,,POMPIDOU,,0.8533734024244382,0.0397656068646850,0,8158
4118067,,PICASSO,,0.8534157780221769,0.0398155182159450,0,51964
4118120,,NANCY,,0.8543974925439386,0.0401285906947199,0,13316
4118068,,PICASSO,,0.8534211080353336,0.0398088511597396,0,51964
4118069,,CAVE - QUAI MICHELET,,0.8534440467906088,0.0398918566645531,0,465835
4118123,,PATINOIRE,,0.8539153941122288,0.0398837700549181,0,9141
4118124,,ABBE GLATZ,,0.8538628526045491,0.0398942957331310,0,9140
4118070,,QUAI DE CLICHY,,0.8534737164213961,0.0399482135454454,0,9136
4118110,,DIJON,,0.8543926069534598,0.0400592899134610,0,13317
4118111,,DIJON,,0.8543907271713316,0.0400661980455242,0,13317
4118116,,GROS BUISSON,,0.8544940639097378,0.0399918009159204,0,13319
4118099,,CHEMIN DES PETITS MARAIS,,0.8542356123040884,0.0400970399138933,0,51689
4118117,,GROS BUISSON,,0.8544926503375123,0.0399868002681924,0,13319
4118118,,SAINT-GRATIEN RER,,0.8545258684654864,0.0399034025713759,0,51682
4118098,,BASSIN N0 5,,0.8542003112451164,0.0400692083612389,0,55469
4118097,,BASSIN N0 5,,0.8542095668045513,0.0400730107323448,0,55469
4118119,,SAINT-GRATIEN RER,,0.8545214706465347,0.0398893534919028,0,51682
4118112,,RUE DE MARSEILLE,,0.8544184843391318,0.0400511712663562,0,13318
4118096,,DARSE N0 5,,0.8541494849154097,0.0400511537903384,0,454326
4118095,,DARSE N0 5,,0.8541432108367841,0.0400511589360612,0,454326
4118113,,RUE DE MARSEILLE,,0.8544129933173590,0.0400476033002372,0,13318
4118114,,CYGNE D'ENGHIEN,,0.8544846719118961,0.0400427805353119,0,8936
4118094,,MOLE CENTRAL,,0.8541183731674482,0.0399099936604495,0,55475
4118093,,MOLE CENTRAL,,0.8541152414327007,0.0399226152905520,0,55475
4118115,,CYGNE D'ENGHIEN,,0.8544815333764513,0.0400384958491307,0,8936
4118104,,PONT D'EPINAY,,0.8543032656483422,0.0402698744389911,0,13312
4118103,,PONT D'EPINAY,,0.8543012277180564,0.0402744001871425,0,13312
4118102,,DEQUEVAUVILLIERS,,0.8542397312661314,0.0402325264844808,0,50069
4118101,,DEQUEVAUVILLIERS,,0.8542406745343212,0.0402406219560958,0,50069
4118108,,PONT DE LA RESISTANCE,,0.8544096019626828,0.0402378989922593,0,13314
4118107,,PONT DE LA RESISTANCE,,0.8544161889620732,0.0402352751286641,0,13314
4118106,,AVENUE DU 18 JUIN 1940,,0.8543650688838897,0.0402865093447178,0,13313
4118105,,AVENUE DU 18 JUIN 1940,,0.8543903200822105,0.0402795886037211,0,13313
4118083,,MENIL,,0.8537913096006440,0.0398548586370807,0,9137
4118082,,MENIL,,0.8537994743175656,0.0398734144142424,0,9137
4118085,,LES AGNETTES-METRO,,0.8538314892880270,0.0399119397429275,0,226540
4118084,,LES AGNETTES-METRO,,0.8538341576189135,0.0399162213648281,0,226540
4118087,,PATINOIRE,,0.8539221409954703,0.0398887620172854,0,22144
4118100,,CHEMIN DES PETITS MARAIS,,0.8542384338715956,0.0400917991310670,0,51689
4118086,,ABBE GLATZ,,0.8538675596614795,0.0398976233517194,0,22141
4118089,,PORT DE GENNEVILLIERS - CENTRE DE VIE,,0.8540836515176013,0.0397838462399374,0,475214
4118088,,LES COURTILLES,,0.8539615091501465,0.0398839617476919,0,440545
4118091,,BASSIN N0 2,,0.8541072219554371,0.0398759585121091,0,55478
4118092,,BASSIN N0 2,,0.8541131836998646,0.0398790475815848,0,55478
4118109,,RER - NANCY,,0.8544001631279303,0.0401416876062393,0,454250
4118079,,RUE DES CHAMPS,,0.8536959398432069,0.0398506739537185,0,6842
4118074,,GALLIENI,,0.8535971497325354,0.0399171648415378,0,6840
