route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1005781,100,53,53 (OPERA <-> PONT DE LEVALLOIS),,3,,FFFFFF,000000
1005782,100,53,53 (OPERA <-> PONT DE LEVALLOIS),,3,,FFFFFF,000000
1013873,100,54,54 (PORTE D'AUBERVILLIERS <-> GABRIEL PERI-METRO),,3,,FFFFFF,000000
1013874,100,54,54 (PORTE D'AUBERVILLIERS <-> GABRIEL PERI-METRO),,3,,FFFFFF,000000
884858,100,56,56 (PORTE DE CLIGNANCOURT <-> CHATEAU DE VINCENNES),,3,,FFFFFF,000000
884859,100,56,56 (PORTE DE CLIGNANCOURT),,3,,FFFFFF,000000
1005374,100,57,57 (PORTE DE BAGNOLET - LOUIS GANNE <-> LAPLACE RER),,3,,FFFFFF,000000
1005375,100,57,57 (PORTE DE BAGNOLET - LOUIS GANNE <-> LAPLACE RER),,3,,FFFFFF,000000
982218,100,58,58 (VANVES-LYCEE MICHELET <-> CHATELET),,3,,FFFFFF,000000
982219,100,58,58 (VANVES-LYCEE MICHELET <-> CHATELET),,3,,FFFFFF,000000
1005779,100,60,60 (GAMBETTA <-> PORTE DE MONTMARTRE),,3,,FFFFFF,000000
1005780,100,60,60 (GAMBETTA <-> PORTE DE MONTMARTRE),,3,,FFFFFF,000000
990959,100,61,61 (GARE D'AUSTERLITZ <-> EGLISE DE PANTIN),,3,,FFFFFF,000000
990960,100,61,61 (GARE D'AUSTERLITZ <-> EGLISE DE PANTIN),,3,,FFFFFF,000000
1005394,100,62,62 (PORTE DE FRANCE <-> PORTE DE SAINT-CLOUD),,3,,FFFFFF,000000
1005395,100,62,62 (PORTE DE FRANCE <-> PORTE DE SAINT-CLOUD),,3,,FFFFFF,000000
1005362,100,63,63 (GARE DE LYON <-> PORTE DE LA MUETTE),,3,,FFFFFF,000000
1005363,100,63,63 (GARE DE LYON <-> PORTE DE LA MUETTE),,3,,FFFFFF,000000
933349,100,64,64 (GAMBETTA - MAIRIE DU 20E <-> PLACE D'ITALIE),,3,,FFFFFF,000000
933350,100,64,64 (GAMBETTA - MARIE DU 20E <-> PLACE D'ITALIE),,3,,FFFFFF,000000
1013791,100,65,65 (GARE DE LYON <-> PORTE DE LA CHAPELLE-METRO),,3,,FFFFFF,000000
1013792,100,65,65 (GARE DE LYON <-> PORTE DE LA CHAPELLE-METRO),,3,,FFFFFF,000000
982393,100,66,66 (OPERA <-> CLICHY - VICTOR HUGO),,3,,FFFFFF,000000
982394,100,66,66 (OPERA <-> CLICHY - VICTOR HUGO),,3,,FFFFFF,000000
884707,100,67,67 (PIGALLE),,3,,FFFFFF,000000
884708,100,67,67 (HOTEL DE VILLE),,3,,FFFFFF,000000
965697,100,67,67 (PIGALLE <-> STADE CHARLETY-PORTE DE GENTILLY),,3,,FFFFFF,000000
965698,100,67,67 (PIGALLE <-> STADE CHARLETY-PORTE DE GENTILLY),,3,,FFFFFF,000000
877942,100,68,68 (PLACE DE CLICHY <-> CHATILLON METRO),,3,,FFFFFF,000000
965786,100,68,68 (PLACE DE CLICHY <-> CHATILLON METRO),,3,,FFFFFF,000000
965787,100,68,68 (PLACE DE CLICHY <-> CHATILLON METRO),,3,,FFFFFF,000000
1013863,100,69,69 (GAMBETTA <-> CHAMPS DE MARS),,3,,FFFFFF,000000
1013864,100,69,69 (GAMBETTA <-> CHAMPS DE MARS),,3,,FFFFFF,000000
996988,100,70,70 (HOTEL DE VILLE DE PARIS <-> RADIO FRANCE),,3,,FFFFFF,000000
996989,100,70,70 (HOTEL DE VILLE DE PARIS <-> RADIO FRANCE),,3,,FFFFFF,000000
994401,100,72,72 (HOTEL DE VILLE DE PARIS <-> PARC DE SAINT CLOUD),,3,,FFFFFF,000000
994402,100,72,72 (HOTEL DE VILLE DE PARIS <-> PARC DE SAINT CLOUD),,3,,FFFFFF,000000
1013888,100,73,73 (MUSEE D'ORSAY <-> LA GARENNE-COLOMBES - CHARLEBOURG),,3,,FFFFFF,000000
1013889,100,73,73 (MUSEE D'ORSAY <-> LA GARENNE-COLOMBES - CHARLEBOURG),,3,,FFFFFF,000000
1013875,100,74,74 (HOTEL DE VILLE DE PARIS <-> CLICHY - BERGES DE SEINE),,3,,FFFFFF,000000
1013876,100,74,74 (HOTEL DE VILLE DE PARIS <-> CLICHY - BERGES DE SEINE),,3,,FFFFFF,000000
991062,100,75,75 (PONT NEUF <-> PORTE DE PANTIN),,3,,FFFFFF,000000
991063,100,75,75 (PONT NEUF <-> PORTE DE PANTIN),,3,,FFFFFF,000000
1013793,100,76,76 (LOUVRE - RIVOLI <-> BAGNOLET-LOUISE MICHEL),,3,,FFFFFF,000000
1013794,100,76,76 (LOUVRE - RIVOLI <-> BAGNOLET-LOUISE MICHEL),,3,,FFFFFF,000000
872211,100,76,76 (GALLIENI-METRO),,3,,FFFFFF,000000
1005847,100,80,80 (PORTE DE VERSAILLES <-> MAIRIE DU 18E - JULES JOFFRIN),,3,,FFFFFF,000000
1005848,100,80,80 (PORTE DE VERSAILLES <-> MAIRIE DU 18E - JULES JOFFRIN),,3,,FFFFFF,000000
1013877,100,81,81 (CHATELET <-> PORTE DE SAINT-OUEN),,3,,FFFFFF,000000
1013878,100,81,81 (CHATELET <-> PORTE DE SAINT-OUEN),,3,,FFFFFF,000000
1002764,100,82,82 (LUXEMBOURG <-> HOPITAL AMERICAIN),,3,,FFFFFF,000000
1002765,100,82,82 (LUXEMBOURG <-> HOPITAL AMERICAIN),,3,,FFFFFF,000000
1005392,100,83,83 (FRIEDLAND - HAUSSMANN <-> PORTE D'IVRY),,3,,FFFFFF,000000
1005393,100,83,83 (FRIEDLAND - HAUSSMANN <-> PORTE D'IVRY),,3,,FFFFFF,000000
1005364,100,84,84 (PLACE DU PANTHEON <-> PORTE DE CHAMPERRET),,3,,FFFFFF,000000
1005365,100,84,84 (PLACE DU PANTHEON <-> PORTE DE CHAMPERRET),,3,,FFFFFF,000000
982417,100,85,85 (LUXEMBOURG <-> MAIRIE DE SAINT-OUEN),,3,,FFFFFF,000000
982418,100,85,85 (LUXEMBOURG <-> MAIRIE DE SAINT-OUEN),,3,,FFFFFF,000000
982419,100,85,85 (HOTEL DE VILLE DE PARIS <-> MAIRIE DE SAINT-OUEN),,3,,FFFFFF,000000
982420,100,85,85 (HOTEL DE VILLE DE PARIS <-> MAIRIE DE SAINT-OUEN),,3,,FFFFFF,000000
976989,100,86,86 (SAINT-GERMAIN-DES-PRES <-> SAINT-MANDE - DEMI LUNE),,3,,FFFFFF,000000
976990,100,86,86 (SAINT-GERMAIN-DES-PRES <-> SAINT-MANDE - DEMI LUNE),,3,,FFFFFF,000000
996992,100,87,87 (CHAMP DE MARS <-> PORTE DE REUILLY),,3,,FFFFFF,000000
996993,100,87,87 (CHAMP DE MARS <-> PORTE DE REUILLY),,3,,FFFFFF,000000
965695,100,88,88 (MONTSOURIS-TOMBE ISSOIRE <-> HOPITAL EUROPEEN GEORGES POMPIDOU),,3,,FFFFFF,000000
965696,100,88,88 (MONTSOURIS-TOMBE ISSOIRE <-> HOPITAL EUROPEEN GEORGES POMPIDOU),,3,,FFFFFF,000000
982273,100,89,89 (PORTE DE FRANCE <-> GARE DE VANVES-MALAKOFF),,3,,FFFFFF,000000
982274,100,89,89 (PORTE DE FRANCE <-> GARE DE VANVES-MALAKOFF),,3,,FFFFFF,000000
1005360,100,91,91 (MONTPARNASSE 2 - GARE TGV <-> BASTILLE),,3,,FFFFFF,000000
1005361,100,91,91 (MONTPARNASSE 2 - GARE TGV <-> BASTILLE),,3,,FFFFFF,000000
1002766,100,92,92 (GARE MONTPARNASSE <-> PORTE DE CHAMPERRET),,3,,FFFFFF,000000
1002767,100,92,92 (GARE MONTPARNASSE <-> PORTE DE CHAMPERRET),,3,,FFFFFF,000000
1005414,100,93,93 (INVALIDES <-> SURESNES-DE GAULLE),,3,,FFFFFF,000000
1005415,100,93,93 (INVALIDES <-> SURESNES-DE GAULLE),,3,,FFFFFF,000000
942344,100,93,93 (INVALIDES <-> PONT DE NEUILLY-METRO),,3,,FFFFFF,000000
942345,100,93,93 (PONT DE NEUILLY-METRO <-> SURESNES-DE GAULLE),,3,,FFFFFF,000000
942346,100,93,93 (PONT DE NEUILLY <-> SURESNES-DE GAULLE),,3,,FFFFFF,000000
1005829,100,94,94 (GARE MONTPARNASSE <-> LOUISON BOBET),,3,,FFFFFF,000000
1005830,100,94,94 (GARE MONTPARNASSE <-> LOUISON BOBET),,3,,FFFFFF,000000
1005831,100,94,94 (GARE SAINT-LAZARE <-> LOUISON BOBET),,3,,FFFFFF,000000
1005832,100,94,94 (GARE SAINT-LAZARE <-> LOUISON BOBET),,3,,FFFFFF,000000
1013834,100,95,95 (PORTE DE VANVES <-> PORTE DE MONTMARTRE),,3,,FFFFFF,000000
1013835,100,95,95 (PORTE DE VANVES <-> PORTE DE MONTMARTRE),,3,,FFFFFF,000000
1013795,100,96,96 (GARE MONTPARNASSE <-> PORTE DES LILAS),,3,,FFFFFF,000000
1013796,100,96,96 (GARE MONTPARNASSE <-> PORTE DES LILAS),,3,,FFFFFF,000000
996996,100,PC1,PC1 (PT DU GARIGLIANO - HOP G. POMPIDOU <-> PORTE DE CHAMPERRET),,3,,FFFFFF,000000
996997,100,PC1,PC1 (PT DU GARIGLIANO - HOP G. POMPIDOU <-> PORTE DE CHAMPERRET),,3,,FFFFFF,000000
1013783,100,PC3,PC3 (PORTE MAILLOT - PERSHING <-> PORTE DE LA CHAPELLE-METRO),,3,,FFFFFF,000000
1013784,100,PC3,PC3 (PORTE MAILLOT - PERSHING <-> PORTE DE LA CHAPELLE-METRO),,3,,FFFFFF,000000
982206,100,101,101 (JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-CAMPING),,3,,FFFFFF,000000
982207,100,101,101 (JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-CAMPING),,3,,FFFFFF,000000
1013797,100,102,102 (GAMBETTA <-> BOIS-PERRIER-RER - ROSNY 2),,3,,FFFFFF,000000
1013798,100,102,102 (GAMBETTA <-> BOIS-PERRIER-RER - ROSNY 2),,3,,FFFFFF,000000
872215,100,102,102 (PARTIEL <-> MAIRE DE MONTREUIL-METRO),,3,,FFFFFF,000000
872278,100,103,103 (ECOLE VETERINAIRE DE MAISONS-ALFORT),,3,,FFFFFF,000000
872279,100,103,103 (ECOLE VETERINAIRE DE MAISONS-ALFORT),,3,,FFFFFF,000000
994365,100,103,103 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> RUNGIS-MARCHE INTERNATIONAL),,3,,FFFFFF,000000
994366,100,103,103 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> RUNGIS-MARCHE INTERNATIONAL),,3,,FFFFFF,000000
994367,100,103,103 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> GEORGES HALGOULT),,3,,FFFFFF,000000
994368,100,103,103 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> GEORGES HALGOULT),,3,,FFFFFF,000000
982357,100,104,104 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> SUCY-BONNEUIL RER),,3,,FFFFFF,000000
982358,100,104,104 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> SUCY-BONNEUIL RER),,3,,FFFFFF,000000
982359,100,104,104 (SUCY-BONNEUIL RER <-> ATELIERS RATP),,3,,FFFFFF,000000
982360,100,104,104 (SUCY-BONNEUIL RER <-> ATELIERS RATP),,3,,FFFFFF,000000
1005785,100,105,105 (PORTE DES LILAS-METRO <-> MAIRIE DES PAVILLONS SOUS BOIS),,3,,FFFFFF,000000
1005786,100,105,105 (PORTE DES LILAS-METRO <-> MAIRIE DES PAVILLONS SOUS BOIS),,3,,FFFFFF,000000
1002740,100,106,106 (JOINVILLLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE),,3,,FFFFFF,000000
1002741,100,106,106 (JOINVILLLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE),,3,,FFFFFF,000000
866511,100,107,107 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR),,3,,FFFFFF,000000
866512,100,107,107 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR),,3,,FFFFFF,000000
866513,100,107,107 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR),,3,,FFFFFF,000000
909159,100,107,107 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR),,3,,FFFFFF,000000
909160,100,107,107 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR),,3,,FFFFFF,000000
909161,100,107,107 (ECOLE VETERINAIRE DE MAISONS-ALFORT <-> LA PIE-ST MAUR),,3,,FFFFFF,000000
1002734,100,108,108 (JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-JEANNE VACHER),,3,,FFFFFF,000000
1002735,100,108,108 (JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-JEANNE VACHER),,3,,FFFFFF,000000
1005775,100,109,109 (PARC DE BERCY <-> TERROIRS DE FRANCE),,3,,FFFFFF,000000
1005776,100,109,109 (PARC DE BERCY <-> TERROIRS DE FRANCE),,3,,FFFFFF,000000
1002742,100,110,110 (JOINVILLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE),,3,,FFFFFF,000000
1002743,100,110,110 (JOINVILLE LE PONT-RER <-> GARE DE VILLIERS SUR MARNE),,3,,FFFFFF,000000
964247,100,111,111 (TERROIRS DE FRANCE <-> LA VARENNE-CHENNEVIERES RER),,3,,FFFFFF,000000
964256,100,111,111 (CENTRE BUS <-> CHAMPIGNY-SAINT-MAUR RER),,3,,FFFFFF,000000
991048,100,111,111 (CHARENTON-ECOLES-METRO <-> CENTRE BUS 6),,3,,FFFFFF,000000
991058,100,111,111 (TERROIRS DE FRANCE <-> LA VARENNE-CHENNEVIERES RER 4),,3,,FFFFFF,000000
991059,100,111,111 (TERROIRS DE FRANCE <-> CENTRE BUS 3),,3,,FFFFFF,000000
997294,100,111,111 (TERROIRS DE FRANCE <-> PLACE DE L'ECLUSE),,3,,FFFFFF,000000
997295,100,111,111 (TERROIRS DE FRANCE <-> PLACE DE L'ECLUSE),,3,,FFFFFF,000000
997306,100,111,111 (TERROIRS DE FRANCE <-> CHAMPIGNY-SAINT-MAUR RER),,3,,FFFFFF,000000
997307,100,111,111 (TERROIRS DE FRANCE <-> CHAMPIGNY-SAINT-MAUR RER),,3,,FFFFFF,000000
997308,100,111,111 (CHARENTON-ECOLES-METRO <-> CHAMPIGNY-SAINT-MAUR RER),,3,,FFFFFF,000000
997309,100,111,111 (CHARENTON-ECOLES-METRO <-> CHAMPIGNY-SAINT-MAUR RER),,3,,FFFFFF,000000
997330,100,111,111 (CHARENTON-ECOLES-METRO <-> PLACE DE L'ECLUSE),,3,,FFFFFF,000000
997331,100,111,111 (CHARENTON-ECOLES-METRO <-> PLACE DE L'ECLUSE),,3,,FFFFFF,000000
872293,100,112,112 (CHATEAU DE VINCENNES <-> CENTRE BUS),,3,,FFFFFF,000000
909190,100,112,112 (CHATEAU DE VINCENNES <-> LA VARENNE-CHENNEVIERES RER),,3,,FFFFFF,000000
909192,100,112,112 (CHATEAU DE VINCENNES),,3,,FFFFFF,000000
909193,100,112,112 (CENTRE BUS),,3,,FFFFFF,000000
870269,100,113,113 (NOGENT-SUR-MARNE-RER <-> POINTE DE GOURNAY),,3,,FFFFFF,000000
982331,100,113,113 (NOGENT-SUR-MARNE RER <-> MAIRIE DE CHELLES),,3,,FFFFFF,000000
